# schema=1
# rustdoc-toolchain=nightly-2026-08-26
# all-features-excludes=z3-verification,z3-verification-bundled (test/build-only)
# generated-by=scripts/api/public_api_census.py
# symbols=2716
# textual-paths=2710
path	kind	availability	documented	owner	usage-evidence	risk	disposition	alias-of	source
fortress_rollback	module	no-default+all-features	yes	core	rustdoc-contract	supported-public-contract	keep-supported	-	src/lib.rs
fortress_rollback::BlankPrediction	struct	no-default+all-features	yes	core	rustdoc-contract	supported-public-contract	keep-supported	-	src/input_queue/prediction.rs
fortress_rollback::ChaosConfig	struct	no-default+all-features	yes	transport	rustdoc-contract	supported-public-contract	keep-supported	-	src/network/chaos_socket.rs
fortress_rollback::ChaosConfig::builder	function	no-default+all-features	yes	transport	rustdoc-contract	supported-public-contract	keep-supported	-	src/network/chaos_socket.rs
fortress_rollback::ChaosConfig::burst_loss_length	struct_field	no-default+all-features	yes	transport	public-data-shape	exhaustive-data-shape	keep-supported	-	src/network/chaos_socket.rs
fortress_rollback::ChaosConfig::burst_loss_probability	struct_field	no-default+all-features	yes	transport	public-data-shape	exhaustive-data-shape	keep-supported	-	src/network/chaos_socket.rs
fortress_rollback::ChaosConfig::duplication_rate	struct_field	no-default+all-features	yes	transport	public-data-shape	exhaustive-data-shape	keep-supported	-	src/network/chaos_socket.rs
fortress_rollback::ChaosConfig::high_latency	function	no-default+all-features	yes	transport	rustdoc-contract	supported-public-contract	keep-supported	-	src/network/chaos_socket.rs
fortress_rollback::ChaosConfig::intercontinental	function	no-default+all-features	yes	transport	rustdoc-contract	supported-public-contract	keep-supported	-	src/network/chaos_socket.rs
fortress_rollback::ChaosConfig::jitter	struct_field	no-default+all-features	yes	transport	public-data-shape	exhaustive-data-shape	keep-supported	-	src/network/chaos_socket.rs
fortress_rollback::ChaosConfig::latency	struct_field	no-default+all-features	yes	transport	public-data-shape	exhaustive-data-shape	keep-supported	-	src/network/chaos_socket.rs
fortress_rollback::ChaosConfig::lossy	function	no-default+all-features	yes	transport	rustdoc-contract	supported-public-contract	keep-supported	-	src/network/chaos_socket.rs
fortress_rollback::ChaosConfig::mobile_network	function	no-default+all-features	yes	transport	rustdoc-contract	supported-public-contract	keep-supported	-	src/network/chaos_socket.rs
fortress_rollback::ChaosConfig::passthrough	function	no-default+all-features	yes	transport	rustdoc-contract	supported-public-contract	keep-supported	-	src/network/chaos_socket.rs
fortress_rollback::ChaosConfig::poor_network	function	no-default+all-features	yes	transport	rustdoc-contract	supported-public-contract	keep-supported	-	src/network/chaos_socket.rs
fortress_rollback::ChaosConfig::receive_loss_rate	struct_field	no-default+all-features	yes	transport	public-data-shape	exhaustive-data-shape	keep-supported	-	src/network/chaos_socket.rs
fortress_rollback::ChaosConfig::reorder_buffer_size	struct_field	no-default+all-features	yes	transport	public-data-shape	exhaustive-data-shape	keep-supported	-	src/network/chaos_socket.rs
fortress_rollback::ChaosConfig::reorder_rate	struct_field	no-default+all-features	yes	transport	public-data-shape	exhaustive-data-shape	keep-supported	-	src/network/chaos_socket.rs
